Bullet,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,0.560994868,51.29,128.71
2,0.733122779,-0.914725622,1.733517568,0,51.29
3,0,0,1.355309909,222.45,317.55
4,-0.733122779,-0.914725622,1.733517568,128.71,180
,,,,,
Barn D,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,17.99,162.01
2,5.499304473,-0.482827677,6.498818803,173,187
3,-5.499304473,-0.482827677,6.498818803,353,7
4,0,3.002392373,4.381358676,257.46,282.54
,,,,,
Barn A,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,0,180
2,32.1500032,-0.836320191,33.16055102,178.554828,181.445172
3,0,0.414367613,2.314217443,244.3983631,295.6016369
4,-32.1500032,-0.836320191,33.16055102,358.554828,1.44517196
,,,,,
Barn B,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,0,180
2,32.14844227,-0.89605735,33.16055102,178.4515772,181.5484228
3,0,0.2948933,2.31421744,244.3983631,295.6016369
4,-32.14844227,-0.89605735,33.16055102,358.4515772,1.54842283
,,,,,
Barn C,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,0,180
2,32.14470575,-1.025,33.16055102,178.2286926,181.7713074
3,0,0.2948933,2.54922038,246.9037574,293.0962426
4,-32.14470575,-1.025,33.16055102,358.2286926,1.77130742
,,,,,
Barn E,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,0,180
2,32.15782742,-0.425,33.16055102,179.2656523,180.7343477
3,-32.15782742,-0.425,33.16055102,359.2656523,0.73434766
4,0,4.33854405,5.28403154,259.0910145,280.9089855
,,,,,
Egg A,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,355.8920588,184.1079412
2,2.42396244,0.161408948,3.43020596,184.1079412,212.032561
3,0,1.34248644,0.57090598,212.032561,327.967439
4,-2.42396244,0.161408948,3.43020596,327.967439,355.8920588
,,,,,
Egg B,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,347.6796452,192.3203548
2,2.26331494,0.49432482,3.3166682,192.3203548,215.9470533
3,0,-1.14687634,0.52093292,215.9470533,324.0529467
4,-2.26331494,0.49432482,3.3166682,324.0529467,347.6796452
,,,,,
Loaf,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,0,180
2,0,2.5,4.12310563,255.9637565,284.0362435
Line,Point 1,Point 2,,,
1,"(-1, 0)","(-1, -1.5)",,,
2,"(1, 0)","(1, -1.5",,,
,,,,,
,,,,,
Rectangle,,,,,
,,,,,
Line,Start x,Start y,End x,End y,
1,-0.62808577,0.65,-0.5,0.77808577,
2,-0.5,0.77808577,0.5,0.77808577,
3,0.5,0.77808577,0.62808577,0.65,
4,0.62808577,0.65,0.62808577,-0.65,
5,0.62808577,-0.65,0.5,-0.77808577,
6,0.5,-0.77808577,-0.5,-0.77808577,
7,-0.5,-0.77808577,-0.62808577,-0.65,
8,-0.62808577,-0.65,-0.62808577,0.65,
,,,,,
The Real Barn,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,12.89245751,167.1075425
2,-8.529838216,-1.952412,9.750431567,167.1075425,182.8315607
3,0,4.604007589,7.141123471,260.2553476,279.7446524
4,8.529838216,-1.952412,9.750431567,357.1684393,12.89245751
,,,,,
,,,,,
Cupcake,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,45.1571138,134.8428862
2,0,3.0356757,3.68886751,259.4604842,280.5395158
Lines,Start x ,Start y,End x,End y,
1,0.70516513,0.70904312,0.67474409,-0.59095688,
2,-0.70516513,0.70904312,-0.67474409,-0.59095688,
,,,,,
Rinker Ellipse,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,64.90940421,115.0905958
2,-0.283530595,0.605531716,0.331375847,115.0905958,244.9094042
3,0,1.211063433,1,244.9094042,295.0905958
4,0.283530595,0.605531716,0.331375847,295.0905958,64.90940421
,,,,,
,,,,,
Mushroom,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0.163958333,0.617291667,36.85243208,143.1475679
2,0,0.65625,1,233.6879389,306.3120611
3,0.21875,0,0.890625,143.1475679,179.0302319
4,-0.21875,0,0.890625,0.96976813,36.85243208
5,0.476458333,0.007916667,0.195416667,2.09885489,306.3120611
6,-0.476458333,0.007916667,0.195416667,177.9014511,233.6879389
,,,,,
,,,,,
Cos Rehab,,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,6.27729849,173.7227015
2,2,-0.44,3.01206362,173.7227015,186.2772985
3,0,-0.88,1,186.2772985,353.7227015
4,-2,-0.44,3.01206362,353.7227015,6.27729849
,,,,,
,,,,,
Ellipse - C507,,,,,
,,,,,
Circle,X,Y,Radius,Start Angle,End Angle
1,0.824175824,0,1,225.2,67.4
2,0,1.978021978,3.142857143,112.6,247.4
3,0,-1.648351648,1,247.4,247.4
4,0.824175824,1.978021978,3.142857143,67.4,292.6
,,,,,
,,,,,
Ellipse - C507,,,,,
,,,,,
1,0.225903614,0,0.274096386,292.6,67.4
2,0,0.542168675,0.861445783,67.4,112.6
3,-0.225903614,0,,112.6,247.4
4,0,-0.542168675,,247.4,292.6
,,,,,
,,,,,
Huia Loaf,,,,,
,,,,,
Circle,X,Y,Radius,Start Angle,End Angle
1,0,0,0.5,90,270
2,0.527016129,0.447580645,0.052419355,14.22,90
3,-1.239758065,0,1.875,14.22,345.78
4,0.527016129,-0.447580645,0.052419355,345.78,270
,,,,,
Line,Point 1,Point 2,,,
1,"(0,0.5)","(0.527016129, 0.5)",,,
2,"(0,-0.5)","(0.527016129, -0.5)",,,
,,,,,
,,,,,
Huia Flume,,,,,
,,,,,
Line,Start x,Start y,End x,End y,
1,0.5,0.410636495,0.5,-0.410636495,
2,0.5,-0.410636495,-0.5,-0.410636495,
3,-0.5,-0.410636495,-0.5,0.410636495,
4,-0.5,0.410636495,0.5,0.410636495,
,,,,,
,,,,,
Redoubt Road Tunnel - According to Plans,,,,,
,,,,,
Circle,x,y,radius,StartAngle,End Angle
1,0,0,1,0,180
2,-1,0,2,335.7,0
3,0,1,2,245.7,294.3
4,1,0,2,180,204.3
,,,,,
,,,,,
Egg C,Metro,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,350,190
2,1.975561538,0.348344821,3.006037744,190,220.9
3,0,-1.266538462,0.461278462,230,310
4,-1.975561538,0.348344821,3.006037744,319.1,350
